# https://zenodo.org/records/10203846
# Table_D2_Multi-Hazard_Fragility_and_Vulnerability_Curves_V1.0.0.xlsx
# Nirandjan 2024, V1.0, F_Vuln_Depth, F8.6a,F8.6b
inundation_depth_(m),damage_fraction,high
0,0.000,0.000
0.05,0.015,0.028
0.1,0.029,0.057
0.15,0.044,0.085
0.2,0.058,0.114
0.25,0.073,0.142
0.3,0.087,0.170
0.35,0.102,0.199
0.4,0.116,0.227
0.45,0.131,0.255
0.5,0.145,0.284
0.55,0.160,0.300
0.6,0.176,0.316
0.65,0.191,0.333
0.7,0.207,0.349
0.75,0.222,0.365
0.8,0.237,0.382
0.85,0.253,0.398
0.9,0.268,0.414
0.95,0.283,0.430
1,0.299,0.447
1.05,0.309,0.483
1.1,0.319,0.519
1.15,0.329,0.556
1.2,0.339,0.592
1.25,0.348,0.628
1.3,0.358,0.665
1.35,0.368,0.701
1.4,0.378,0.737
1.45,0.388,0.773
1.5,0.398,0.810
1.55,0.402,0.827
1.6,0.406,0.844
1.65,0.410,0.861
1.7,0.415,0.878
1.75,0.419,0.895
1.8,0.423,0.912
1.85,0.427,0.929
1.9,0.431,0.946
1.95,0.435,0.963
2,0.439,0.980
2.05,0.447,0.981
2.1,0.454,0.982
2.15,0.461,0.983
2.2,0.469,0.984
2.25,0.476,0.985
2.3,0.484,0.986
2.35,0.491,0.987
2.4,0.498,0.988
2.45,0.506,0.989
2.5,0.513,0.990
2.55,0.521,0.991
2.6,0.528,0.992
2.65,0.535,0.993
2.7,0.543,0.994
2.75,0.550,0.995
2.8,0.558,0.996
2.85,0.565,0.997
2.9,0.572,0.998
2.95,0.580,0.999
3,0.587,1.000
3.05,0.595,1.000
3.1,0.604,1.000
3.15,0.612,1.000
3.2,0.620,1.000
3.25,0.629,1.000
3.3,0.637,1.000
3.35,0.645,1.000
3.4,0.654,1.000
3.45,0.662,1.000
3.5,0.670,1.000
3.55,0.679,1.000
3.6,0.687,1.000
3.65,0.695,1.000
3.7,0.704,1.000
3.75,0.712,1.000
3.8,0.720,1.000
3.85,0.729,1.000
3.9,0.737,1.000
3.95,0.745,1.000
4,0.754,1.000
4.05,0.761,1.000
4.1,0.769,1.000
4.15,0.777,1.000
4.2,0.784,1.000
4.25,0.792,1.000
4.3,0.799,1.000
4.35,0.807,1.000
4.4,0.815,1.000
4.45,0.822,1.000
4.5,0.830,1.000
4.55,0.838,1.000
4.6,0.845,1.000
4.65,0.853,1.000
4.7,0.860,1.000
4.75,0.868,1.000
4.8,0.876,1.000
4.85,0.883,1.000
4.9,0.891,1.000
4.95,0.899,1.000
5,0.906,1.000
5.05,0.911,1.000
5.1,0.916,1.000
5.15,0.920,1.000
5.2,0.925,1.000
5.25,0.930,1.000
5.3,0.934,1.000
5.35,0.939,1.000
5.4,0.944,1.000
5.45,0.948,1.000
5.5,0.953,1.000
5.55,0.958,1.000
5.6,0.962,1.000
5.65,0.967,1.000
5.7,0.972,1.000
5.75,0.977,1.000
5.8,0.981,1.000
5.85,0.986,1.000
5.9,0.991,1.000
5.95,0.995,1.000
6,1.000,1.000
