# https://zenodo.org/records/10203846
# Table_D2_Multi-Hazard_Fragility_and_Vulnerability_Curves_V1.0.0.xlsx
# Nirandjan 2024, V1.0, F_Vuln_Depth, F7.4,F7.5
inundation_depth_(m),damage_fraction,high flow
0,0,0.000
0.05,0.001,0.002
0.1,0.002,0.004
0.15,0.003,0.006
0.2,0.004,0.008
0.25,0.005,0.010
0.3,0.006,0.012
0.35,0.007,0.014
0.4,0.008,0.016
0.45,0.009,0.018
0.5,0.01,0.020
0.55,0.012,0.024
0.6,0.014,0.028
0.65,0.016,0.032
0.7,0.018,0.036
0.75,0.02,0.040
0.8,0.022,0.044
0.85,0.024,0.048
0.9,0.026,0.052
0.95,0.028,0.056
1,0.03,0.060
1.05,0.035,0.064
1.1,0.039,0.068
1.15,0.044,0.072
1.2,0.048,0.076
1.25,0.053,0.080
1.3,0.057,0.084
1.35,0.062,0.088
1.4,0.066,0.092
1.45,0.071,0.096
1.5,0.075,0.100
1.55,0.078,0.102
1.6,0.08,0.104
1.65,0.083,0.106
1.7,0.085,0.108
1.75,0.088,0.110
1.8,0.09,0.112
1.85,0.093,0.114
1.9,0.095,0.116
1.95,0.098,0.118
2,0.1,0.120
2.05,0.101,0.121
2.1,0.103,0.123
2.15,0.104,0.124
2.2,0.105,0.125
2.25,0.106,0.126
2.3,0.108,0.128
2.35,0.109,0.129
2.4,0.11,0.130
2.45,0.111,0.131
2.5,0.113,0.133
2.55,0.114,0.134
2.6,0.115,0.135
2.65,0.116,0.136
2.7,0.118,0.138
2.75,0.119,0.139
2.8,0.12,0.140
2.85,0.121,0.141
2.9,0.123,0.143
2.95,0.124,0.144
3,0.125,0.145
3.05,0.126,0.146
3.1,0.128,0.148
3.15,0.129,0.149
3.2,0.13,0.150
3.25,0.131,0.151
3.3,0.133,0.153
3.35,0.134,0.154
3.4,0.135,0.155
3.45,0.136,0.156
3.5,0.138,0.158
3.55,0.139,0.159
3.6,0.14,0.160
3.65,0.141,0.161
3.7,0.143,0.163
3.75,0.144,0.164
3.8,0.145,0.165
3.85,0.146,0.166
3.9,0.148,0.168
3.95,0.149,0.169
4,0.15,0.170
4.05,0.151,0.171
4.1,0.153,0.173
4.15,0.154,0.174
4.2,0.155,0.175
4.25,0.156,0.176
4.3,0.158,0.178
4.35,0.159,0.179
4.4,0.16,0.180
4.45,0.161,0.181
4.5,0.163,0.183
4.55,0.164,0.184
4.6,0.165,0.185
4.65,0.166,0.186
4.7,0.168,0.188
4.75,0.169,0.189
4.8,0.17,0.190
4.85,0.171,0.191
4.9,0.173,0.193
4.95,0.174,0.194
5,0.175,0.195
5.05,0.176,0.196
5.1,0.178,0.198
5.15,0.179,0.199
5.2,0.18,0.200
5.25,0.181,0.201
5.3,0.183,0.203
5.35,0.184,0.204
5.4,0.185,0.205
5.45,0.186,0.206
5.5,0.188,0.208
5.55,0.189,0.209
5.6,0.19,0.210
5.65,0.191,0.211
5.7,0.193,0.213
5.75,0.194,0.214
5.8,0.195,0.215
5.85,0.196,0.216
5.9,0.198,0.218
5.95,0.199,0.219
6,0.2,0.220
