# https://zenodo.org/records/10203846
# Table_D2_Multi-Hazard_Fragility_and_Vulnerability_Curves_V1.0.0.xlsx
# Nirandjan 2024, V1.0, F_Vuln_Depth, F7.2a,F7.2b,F7.2
inundation_depth_(m),damage_fraction,upper,central
0,0,0,0.000
0.05,0.015,0.028,0.021
0.1,0.029,0.057,0.043
0.15,0.044,0.085,0.064
0.2,0.058,0.114,0.086
0.25,0.073,0.142,0.107
0.3,0.087,0.17,0.129
0.35,0.102,0.199,0.150
0.4,0.116,0.227,0.172
0.45,0.131,0.255,0.193
0.5,0.145,0.284,0.214
0.55,0.16,0.3,0.230
0.6,0.176,0.316,0.246
0.65,0.191,0.333,0.262
0.7,0.207,0.349,0.278
0.75,0.222,0.365,0.294
0.8,0.237,0.382,0.309
0.85,0.253,0.398,0.325
0.9,0.268,0.414,0.341
0.95,0.283,0.43,0.357
1,0.299,0.447,0.373
1.05,0.309,0.483,0.396
1.1,0.319,0.519,0.419
1.15,0.329,0.556,0.442
1.2,0.339,0.592,0.465
1.25,0.348,0.628,0.488
1.3,0.358,0.665,0.511
1.35,0.368,0.701,0.535
1.4,0.378,0.737,0.558
1.45,0.388,0.773,0.581
1.5,0.398,0.81,0.604
1.55,0.402,0.827,0.615
1.6,0.406,0.844,0.625
1.65,0.41,0.861,0.636
1.7,0.415,0.878,0.646
1.75,0.419,0.895,0.657
1.8,0.423,0.912,0.667
1.85,0.427,0.929,0.678
1.9,0.431,0.946,0.689
1.95,0.435,0.963,0.699
2,0.439,0.98,0.710
2.05,0.447,0.981,0.715
2.1,0.454,0.982,0.720
2.15,0.461,0.983,0.724
2.2,0.469,0.984,0.729
2.25,0.476,0.985,0.734
2.3,0.484,0.986,0.739
2.35,0.491,0.987,0.744
2.4,0.498,0.988,0.749
2.45,0.506,0.989,0.754
2.5,0.513,0.99,0.759
2.55,0.521,0.991,0.764
2.6,0.528,0.992,0.769
2.65,0.535,0.993,0.774
2.7,0.543,0.994,0.779
2.75,0.55,0.995,0.784
2.8,0.558,0.996,0.789
2.85,0.565,0.997,0.794
2.9,0.572,0.998,0.799
2.95,0.58,0.999,0.803
3,0.587,1,0.808
3.05,0.595,1,0.812
3.1,0.604,1,0.816
3.15,0.612,1,0.820
3.2,0.62,1,0.824
3.25,0.629,1,0.828
3.3,0.637,1,0.832
3.35,0.645,1,0.836
3.4,0.654,1,0.840
3.45,0.662,1,0.844
3.5,0.67,1,0.848
3.55,0.679,1,0.852
3.6,0.687,1,0.856
3.65,0.695,1,0.860
3.7,0.704,1,0.864
3.75,0.712,1,0.867
3.8,0.72,1,0.871
3.85,0.729,1,0.875
3.9,0.737,1,0.879
3.95,0.745,1,0.883
4,0.754,1,0.887
4.05,0.761,1,0.891
4.1,0.769,1,0.895
4.15,0.777,1,0.899
4.2,0.784,1,0.903
4.25,0.792,1,0.908
4.3,0.799,1,0.912
4.35,0.807,1,0.916
4.4,0.815,1,0.920
4.45,0.822,1,0.924
4.5,0.83,1,0.928
4.55,0.838,1,0.932
4.6,0.845,1,0.936
4.65,0.853,1,0.940
4.7,0.86,1,0.944
4.75,0.868,1,0.948
4.8,0.876,1,0.952
4.85,0.883,1,0.957
4.9,0.891,1,0.961
4.95,0.899,1,0.965
5,0.906,1,0.969
5.05,0.911,1,0.970
5.1,0.916,1,0.972
5.15,0.92,1,0.973
5.2,0.925,1,0.975
5.25,0.93,1,0.977
5.3,0.934,1,0.978
5.35,0.939,1,0.980
5.4,0.944,1,0.981
5.45,0.948,1,0.983
5.5,0.953,1,0.984
5.55,0.958,1,0.986
5.6,0.962,1,0.988
5.65,0.967,1,0.989
5.7,0.972,1,0.991
5.75,0.977,1,0.992
5.8,0.981,1,0.994
5.85,0.986,1,0.995
5.9,0.991,1,0.997
5.95,0.995,1,0.998
6,1,1,1.000
