name,year,track_id
Oswald,2013,2013018S14138
Bruce,2013,2013350S08099
Gillian,2014,2014066S09138
Hellen,2014,2014086S10041
Ita,2014,2014092S11159
Marie,2014,2014234N12261
Bansi,2015,2015009S19054
Eunice,2015,2015024S15078
Pam,2015,2015066S08170
Patricia,2015,2015293N13266
Hermine,2016,2016242N24279
Winston,2016,2016041S14170
Fantala,2016,2016102S12074
Meranti,2016,2016253N13144
Matthew,2016,2016273N13300
Ernie,2017,2017094S10115
Irma,2017,2017242N16333
Maria,2017,2017260N12310
Marcus,2018,2018073S09129
Lane,2018,2018226N11245
Florence,2018,2018242N13343
Walaka,2018,2018269N11220
Michael,2018,2018280N18273
Dorian,2019,2019236N10314
Lorenzo,2019,2019266N11341
Harold,2020,2020092S09155
Isaias,2020,2020211N13306
